,path,gender,age,ethnicity,hsv_color,rgb_color,gray_color,face_bb
0,UTKFace\100_0_0_20170112213500903.jpg.chip.jpg,0,100,0,,,,
1,UTKFace\100_0_0_20170112215240346.jpg.chip.jpg,0,100,0,[ 11  41 204],[204 183 171],[201],"(0, 0, 705, 720)"
2,UTKFace\100_1_0_20170110183726390.jpg.chip.jpg,1,100,0,[ 11  55 222],[222 192 174],[151],"(169, 169, 542, 303)"
3,UTKFace\100_1_0_20170112213001988.jpg.chip.jpg,1,100,0,,,,
4,UTKFace\100_1_0_20170112213303693.jpg.chip.jpg,1,100,0,[  7  81 149],[149 113 102],[142],"(0, 0, 720, 714)"
5,UTKFace\100_1_0_20170112215032192.jpg.chip.jpg,1,100,0,[ 11  86 186],[186 146 123],[112],"(0, 0, 636, 673)"
6,UTKFace\100_1_0_20170117195420803.jpg.chip.jpg,1,100,0,[ 11  57 131],[131 112 102],[83],"(0, 0, 720, 720)"
7,UTKFace\100_1_0_20170119212053665.jpg.chip.jpg,1,100,0,[ 17  47 194],[194 179 158],[178],"(0, 0, 656, 663)"
8,UTKFace\100_1_2_20170105174847679.jpg.chip.jpg,1,100,2,[  8 123 163],[163 105  84],[89],"(0, 0, 672, 686)"
9,UTKFace\100_1_2_20170112213615815.jpg.chip.jpg,1,100,2,,,,
10,UTKFace\100_1_2_20170112222336458.jpg.chip.jpg,1,100,2,,,,
11,UTKFace\101_0_0_20170112213500903.jpg.chip.jpg,0,101,0,,,,
12,UTKFace\101_1_2_20170105174739309.jpg.chip.jpg,1,101,2,,,,
13,UTKFace\103_0_2_20170112213001988.jpg.chip.jpg,0,103,2,,,,
14,UTKFace\105_0_0_20170112213001988.jpg.chip.jpg,0,105,0,,,,
15,UTKFace\105_1_0_20170112213001988.jpg.chip.jpg,1,105,0,,,,
16,UTKFace\105_1_0_20170112213021902.jpg.chip.jpg,1,105,0,,,,
17,UTKFace\105_1_0_20170112213507183.jpg.chip.jpg,1,105,0,,,,
18,UTKFace\105_1_1_20170112213303693.jpg.chip.jpg,1,105,1,,,,
19,UTKFace\10_0_0_20161220222308131.jpg.chip.jpg,0,10,0,[ 12 115 222],[222 162 122],[180],"(0, 0, 660, 680)"
20,UTKFace\10_0_0_20170103200329407.jpg.chip.jpg,0,10,0,[168  63 225],[225 169 192],[194],"(0, 0, 653, 720)"
21,UTKFace\10_0_0_20170103200522151.jpg.chip.jpg,0,10,0,[  3  73 228],[228 169 163],[195],"(0, 0, 609, 710)"
22,UTKFace\10_0_0_20170103233459275.jpg.chip.jpg,0,10,0,[ 10 119 220],[220 152 117],[170],"(0, 0, 667, 678)"
23,UTKFace\10_0_0_20170104013211746.jpg.chip.jpg,0,10,0,[  5  92 143],[143 100  91],[121],"(0, 0, 658, 708)"
24,UTKFace\10_0_0_20170110215927291.jpg.chip.jpg,0,10,0,,,,
25,UTKFace\10_0_0_20170110220033115.jpg.chip.jpg,0,10,0,,,,
26,UTKFace\10_0_0_20170110220111082.jpg.chip.jpg,0,10,0,[  8  39 237],[237 210 201],[228],"(0, 0, 589, 717)"
27,UTKFace\10_0_0_20170110220235233.jpg.chip.jpg,0,10,0,[ 10 108 214],[214 154 123],[139],"(0, 0, 586, 680)"
28,UTKFace\10_0_0_20170110220251986.jpg.chip.jpg,0,10,0,,,,
29,UTKFace\10_0_0_20170110220255346.jpg.chip.jpg,0,10,0,[  7  54 220],[220 184 173],[209],"(0, 0, 647, 676)"
30,UTKFace\10_0_0_20170110220316298.jpg.chip.jpg,0,10,0,[ 10 106 177],[177 128 103],[105],"(0, 0, 658, 687)"
31,UTKFace\10_0_0_20170110220403810.jpg.chip.jpg,0,10,0,[  3 129 128],[128  70  63],[107],"(0, 0, 671, 691)"
32,UTKFace\10_0_0_20170110220447314.jpg.chip.jpg,0,10,0,[ 20   3 211],[211 210 209],[210],"(0, 0, 656, 706)"
33,UTKFace\10_0_0_20170110220503946.jpg.chip.jpg,0,10,0,[  8  69 219],[219 176 160],[195],"(0, 0, 655, 709)"
34,UTKFace\10_0_0_20170110220514186.jpg.chip.jpg,0,10,0,[ 11 147 171],[171 109  72],[122],"(0, 0, 659, 688)"
35,UTKFace\10_0_0_20170110220530650.jpg.chip.jpg,0,10,0,[ 18  40 226],[226 212 191],[208],"(0, 0, 640, 687)"
36,UTKFace\10_0_0_20170110220539329.jpg.chip.jpg,0,10,0,[ 11  94 188],[188 144 119],[123],"(0, 0, 654, 692)"
37,UTKFace\10_0_0_20170110220541850.jpg.chip.jpg,0,10,0,[ 16  44 244],[244 224 202],[224],"(0, 0, 665, 688)"
38,UTKFace\10_0_0_20170110220546177.jpg.chip.jpg,0,10,0,[ 13  74 224],[224 187 159],[182],"(0, 0, 625, 700)"
